1_hanzi,2_pinyin,3_meaningList,4_frequency,5_hsk_level,6_traditional
东,dōng,east,1347,1,東
东边,dōng bian,"east, east side, eastern part, to the east of",118,1,東邊
东西,dōngxī,"thing, creature",38127,1,東西
动,dòng,"concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move",8406,1,動
动作,dòngzuò,"demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move",2916,1,動作
都,dōu,"all, even, already",177619,1,都
读,dú,"study, read, attend school, take, read aloud, read (aloud), peruse",4661,1,讀
读书,dúshū,"read, study, attend school",630,1,讀書
对,duì,"correct, true, toward",132805,1,對
对不起,duìbùqǐ,"be unfair to, I'm sorry, let ... down, let sb. down, excuse me",20548,1,對不起
多,duō,"many, much, more, more than the correct/required number, excessive, too much, much/far more",52605,1,多
多少,duōshǎo,"det.: how many, how much, many",9965,1,多少
饿,è,starve,2943,1,餓
儿子,érzi,"viscount, man-child, boy, male offspring, son",11100,1,兒子
二,èr,"det.: two, second",4849,1,二
饭,fàn,"food, meal, repast, cooked rice or other cereals, dinner",1813,1,飯
饭店,fàndiàn,"restraurant, restaurant, hotel",645,1,飯店
房间,fángjiān,"apartment, aspect, houseroom, room, chamber, bedroom",7208,1,房間
房子,fángzi,"building (of less than three stories), room, building, property, house",8223,1,房子
放,fàng,"loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend (money) at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus",19099,1,放
放假,fàngjià,"have a day off, have a vacation, have day off, have or be on vacation, have or be on holiday, have a holiday, vacation",183,1,放假
放学,fàngxué,"have winter holidays, classes are over, finish classes, have summer holidays, finish classes (for the day)",430,1,放學
飞,fēi,"hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit",3894,1,飛
飞机,fēijī,"aerocraft, airplane, machine, craft, aeroplane, ship, aero, avion, aeronef, plane, aircraft",5020,1,飛機
非常,fēicháng,"extraordinary, unusual, special, very, extremely, highly",26976,1,非常
分,fèn,m.[general],5455,1,分
风,fēng,"wind, common practice, custom, general mood, style, news, information",1824,1,風
干,gàn,"do, work, fight",41651,1,幹
干净,gānjìng,"clean, clear",2189,1,乾淨
干什么,gànshénmo5,do something,3492,1,幹什麼
高,gāo,"tall, high",7415,1,高
高兴,gāoxìng,"glad, happy, cheerful, merry, pleased",16480,1,高興
告诉,gàosù,"tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know",61222,1,告訴
哥哥,gēgē,"big brother, elder brother, big_brother",3700,1,哥哥
歌,gē,song,6309,1,歌
个,gè,"piece, item",173905,1,個
给,gěi,"give, give to",117218,1,給
跟,gēn,"with, to, from",62979,1,跟
工人,gōngrén,"navvy, hired man, operative, working person, laborer, shopworker, esne, working man, hired hand, worker, workpeople, workman, hand",617,1,工人
工作,gōngzuò,"work, job",30191,1,工作
关,guān,"shut, close, turn off, lock up, close down",5998,1,關
关上,guān shàng,"to close (a door), to turn off (light, electrical equipment etc)",717,1,關上
贵,guì,"expensive, costly, highly valued",959,1,貴
国,guó,"surname Guo, country, nation, state, national, CL:個|个[ge4]",904,1,國
国家,guójiā,"sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica",5576,1,國家
国外,guówài,overseas,267,1,國外
过,guò,[aspect],112388,1,過
还,hái,"still, yet, also, too, as well, besides",130326,1,還
还是,háishì,"still, nevertheless",19998,1,還是
还有,háiyǒu,"conj.: furthermore, in addition",35932,1,還有
孩子,háizi,"kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son",37243,1,孩子
汉语,Hàn yǔ,"Chinese language, CL:門|门[men2]",32,1,漢語
汉字,hàn zì,"Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự",16,1,漢字
好,hǎo,good,334698,1,好
好吃,hǎochī,"delicious, good to eat, tasty, enjoy eating good food, gluttonous",1210,1,好吃
好看,hǎokàn,"embarrassed, interesting, nice, good-looking, delightful",1279,1,好看
好听,hǎotīng,pleasant to hear,413,1,好聽
好玩儿,hǎowánr,"interesting, delightful, amusing",91,1,好玩兒
号,hào,m.[general],11862,1,號
喝,hē,drink,14004,1,喝
和,hé,"and, with, gentle, peaceful",150418,1,和
很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly",200584,1,很
后,hòu,"rear, back, behind",22018,1,後
后边,hoù bian,"back, rear, behind",101,1,後邊
后天,hoù tiān,"the day after tomorrow, post-natal, acquired (not innate), a posteriori",91,1,後天
花,huā,"spend, expend, cost",8947,1,花
话,huà,"words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word",39900,1,話
坏,huài,spoiled,7842,1,壞
回,huí,"return, go back",30259,1,回
回答,huídá,"answer, reply",4070,1,回答
回到,huídào,"remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to",4787,1,回到
回家,huíjiā,return home,9360,1,回家
回来,huílái,"come back, get_back, recur, revisit, come, return, be back, come_back",22423,1,回來
回去,huíqù,"go_home, go_back, retrocede, go back, be back, go, return",7993,1,回去
会,huì,"to be able, can, will, to meet",265929,1,會
火车,huǒchē,"choo-choo, railroad train, car train, marshalling_yard, puff-puff, train",1533,1,火車
机场,jīchǎng,"landing field, flying field, airfield, airport, airdrome, field, aerodrome",1634,1,機場
机票,jī piào,"air ticket, passenger ticket, CL:張|张[zhang1]",486,1,機票
鸡蛋,jī dàn,"(chicken) egg, hen's egg, CL:個|个[ge4],打[da2]",719,1,雞蛋
几,jǐ,"det.: how many, a few, several, some",22431,1,幾
记,jì,"write down, record",4372,1,記
记得,jìde,"come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind",13898,1,記得
记住,jì zhu,"to remember, to bear in mind, to learn by heart",3514,1,記住
家,jiā,"family, household, home, house",27026,1,家
家里,jiā lǐ,home,4563,1,家裡
家人,jiārén,"relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house",2880,1,家人
间,jiān,"locality, room",5547,1,間
见,jiàn,"see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet",29340,1,見
见面,jiànmiàn,"meet, see",3366,1,見面
教,jiāo,teach,5127,1,教
叫,jiào,to be called,34648,1,叫
教学楼,jiào xué loú,"teaching block, school building",16,1,教學樓
姐姐,jiějiě,"sis, big_sister, elder sister, sister",2655,1,姐姐
介绍,jièshào,"introduce, present, recommend, suggest, let know, brief",2583,1,介紹
今年,jīn nián,this year,1802,1,今年
今天,jīn tiān,"today, at the present, now",24750,1,今天
进,jìn,"enter, come/go into, advance",17634,1,進
进来,jìnlái,"come in, enter",6999,1,進來
进去,jìnqù,"enter, entry, go_in, get in, go in",6757,1,進去
九,jiǔ,det.: nine,1234,1,九
就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation",276636,1,就
觉得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive",51047,1,覺得
开,kāi,"open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal",27382,1,開
开车,kāi chē,to drive a car,1888,1,開車
开会,kāihuì,hold/attend meeting,573,1,開會
开玩笑,kāiwánxiào,"kid, spoof, jive, gag, make fun of, josh, daff, rot, quip, chaff, rib, banter, jolly, fun, sport, put_on, clown, fool, droll, jape, joke, skylark, jest, jocose, crack a joke",2406,1,開玩笑
看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit",102546,1,看
看病,kàn bìng,"to visit a doctor, to see a patient",150,1,看病
看到,kàndào,"view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of",26783,1,看到
看见,kànjiàn,"seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of, catch sight of",11442,1,看見
考,kǎo,"study, inspect, give test, inspection, give, give/take test, test, investigate, verify, take test, give or take an examination, quiz, check",815,1,考
考试,kǎoshì,"examination, test",1041,1,考試
渴,kě,thirsty,292,1,渴
课,kè,"subject, course, class",2226,1,課
课本,kèběn,"text edition, textbook, text, school text, schoolbook",63,1,課本
课文,kè wén,"text, CL:篇[pian1]",5,1,課文
口,kǒu,m.[general],4127,1,口
块,kuài,m.[general],9365,1,塊
快,kuài,"fast, quick, quick-witted, ingenious, sharp (of knives), straightforward",53510,1,快
来,lái,to,185154,1,來
来到,láidào,"arrive, come",3341,1,來到
老,lǎo,"old, aged;of long standing, outdated, tough, overgrown, dark (of colors)",16451,1,老
老人,lǎorén,"oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents",630,1,老人
老师,lǎoshī,"rabbi, professor, swami, instructor, teacher, mast",3879,1,老師
了,le,entirely,946365,1,了
累,lèi,"tire, build by piling up, pile up, strain, weary, toil, accumulate, involve, tired, burthen, work hard, accumulation, fatigued, wear out",2375,1,累
冷,lěng,"cool, rare, cold, unfrequented, feel cold, chill, frosty(in manner), shot from hiding, strange",2343,1,冷
里,lǐ,inside,63276,1,裡
里边,lǐ bian,inside,131,1,裡邊
两,liǎng,"det.: two, both (sides), either (side), a few, some",36580,1,兩
零,líng,"det.: zero, naught, nil",579,1,零
六,liù,det.: six,3898,1,六
楼,lóu,"storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building",3580,1,樓
楼上,loú shàng,upstairs,954,1,樓上
楼下,loú xià,downstairs,841,1,樓下
路,lù,"road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class",6993,1,路
路口,lù koǔ,"crossing, intersection (of roads)",205,1,路口
路上,lù shang,"on the road, on a journey, road surface",2399,1,路上
妈妈,māmā,"mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma",25730,1,媽媽
马路,mǎlù,"drive, road, driveway, riding, a road, carriageway, avenue, street, a street used by vehicular traffic",358,1,馬路
马上,mǎshàng,"in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout-de-suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f",10413,1,馬上
吗,mā,particle: calling for agreement or disagreement,249187,1,嗎
买,mǎi,"pick up, invest, hire, buy, purchase, put_down, trade, get",15766,1,買
慢,màn,"tardy, rude, slow down, slow, slow up, retard, lose, defer, supercilious, postpone, decelerate",2887,1,慢
忙,máng,"hurry, hasten",8342,1,忙
毛,máo,"Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking",2068,1,毛
没,méi,not,159508,1,沒
没关系,méiguānxì,"it doesn't matter, never mind",5276,1,沒關係
没什么,méi shén me,"nothing, it doesn't matter, it's nothing, never mind",9452,1,沒甚麼
没事儿,méishìr,"to have spare time, free from work, it's not important, it's nothing, never mind",1033,1,沒事兒
没有,méiyǒu,"not have, there is not, be without",108237,1,沒有
妹妹,mèimèi,"little_sister, sis, younger sister, little sister, sister",3262,1,妹妹
门,mén,"door, gate",8879,1,門
门口,ménkǒu,"porch, portal, doorway, gateway, threshold, room access, door, entering, entrance",837,1,門口
门票,ménpiào,"entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover_charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance",343,1,門票
们,men,pluralizer after pronouns and nouns of persons,39958,1,們
米饭,mǐ fàn,(cooked) rice,147,1,米飯
面包,miànbāo,"bun, staff of life, cookie, breadstuff, bread",1201,1,麵包
面条儿,miàntiáor,"noodles, erhua variant of 麵條|面条[mian4 tiao2]",0,1,麵條兒
名字,míngzi,"first_name, forename, moniker, monaker, first name, monicker, cognomen, given name, name, patronymic, appellation",14335,1,名字
明白,míngbái,"clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization",24744,1,明白
明年,míng nián,next year,634,1,明年
明天,míng tiān,tomorrow,10108,1,明天
拿,ná,"take, hold, seize, capture",32361,1,拿
哪,nǎ,det.: which,26385,1,哪
哪里,nǎlǐ,where,13471,1,哪裡
哪儿,nǎér,where,14873,1,哪兒
哪些,nǎxiē,det.: which,516,1,哪些
那,nà,det.: that,190087,1,那
那边,nàbiān,"beyond, that side, there",6572,1,那邊
那里,nàlǐ,that place,16783,1,那裡
那儿,nǎēr,that place,10254,1,那兒
那些,nǎxiē,det.: those,26450,1,那些
奶,nǎi,"breasts, milk",776,1,奶
奶奶,nǎinǎi,"nanna, address for married woman, granny, gran, grandmother, grandma, respectful form of address for an old woman, paternal grandmother",1910,1,奶奶
男,nán,"baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son",5775,1,男
男孩儿,nánháir,"boy, erhua variant of 男孩[nan2 hai2]",0,1,男孩兒
男朋友,nánpéngyǒu,boyfriend,2478,1,男朋友
男人,nánrén,"male, man, chap, mankind, buck, bastard, gentleman, jack, gent, men, blighter, cuss, hombre, lad, adult male, groom, husband, bimbo, dog, fellow, mon, menfolk, fella",11608,1,男人
男生,nánshēng,"brother, sonny boy, man, male, laddie, lad, boy student, male student, boy, schoolboy, sonny, cub, man student",1042,1,男生
南,nán,"Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern",1094,1,南
南边,nán bian,"south, south side, southern part, to the south of",177,1,南邊
难,nán,"make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame",10254,1,難
呢,ne,particle: marking quesitons about subject already mentioned; indicating strong affirmation,76752,1,呢
能,néng,can or to be capable of,166656,1,能
你,nǐ,you,1329424,1,你
你们,nǐmen,"you, you (plural), you-all",112946,1,你們
年,nián,year,30648,1,年
您,nín,you,17279,1,您
牛奶,nióunǎi,cow's milk,888,1,牛奶
女,nǔ,"girl, female, woman, neodymium, hen, daughter, beaver, creature",8343,1,女
女儿,nǔér,"daughter, girl",8450,1,女兒
女孩儿,nǚháir,"girl, erhua variant of 女孩[nu:3 hai2]",62598,1,女孩兒
女朋友,nǔpéngyǒu,"jane, girl, girl friend, lady friend, girlfriend, amie",2641,1,女朋友
女人,nǔrén,"jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women",14388,1,女人
女生,nǔshēng,"schoolgirl, girl student, female student, female, girl, woman student, co-ed",1690,1,女生
旁边,pángbiān,"by the side of, side, adjacency, near by",2098,1,旁邊
跑,pǎo,"travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg",12332,1,跑
朋友,péngyou,"amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company",26017,1,朋友
票,piào,"ticket, ballot, note",3664,1,票
七,qī,det.: seven,1972,1,七
起,qǐ,[aspect],20231,1,起
起床,qǐchuáng,"uprise, get up from bed, arise, get out of bed, turn out, rise, deck, get_up, awake, get up",798,1,起床
起来,qǐlái,[aspect],37205,1,起來
汽车,qìchē,"automotive vehicle, machine, wheels, motorcar, motor vehicle, car, automotive, auto, wheel, autocar, motor, automobile, hoot, mobile, bus",2373,1,汽車
前,qián,front,25613,1,前
前边,qián bian,"front, the front side, in front of",21,1,前邊
前天,qián tiān,the day before yesterday,114,1,前天
钱,qián,"copper coin, cash, money, fund, sum",29221,1,錢
钱包,qián bāo,"purse, wallet",997,1,錢包
请,qǐng,"request, ask (a favor), engage, hire (teacher/etc.), Please...",30598,1,請
请假,qǐngjià,"vacate, ask for leave",145,1,請假
请进,qǐng jìn,'please come in',49421,1,請進
请问,qǐngwèn,"Excuse me, may I ask...?",1005,1,請問
请坐,qǐng zuò,Sitting,18773,1,請坐
球,qiú,ball,7121,1,球
去,qù,"to go, to leave, in order to",163054,1,去
去年,qù nián,last year,1897,1,去年
热,rè,hot,3025,1,熱
人,rén,"person, people",194914,1,人
认识,rènshì,"know, recognize",14304,1,認識
认真,rènzhēn,"serious, earnest, take for real",3048,1,認真
日,rì,m.[standard],4114,1,日
日期,rìqí,"calendar, when, date",520,1,日期
肉,ròu,"pulp, chilli, cabobs, meat, lobscouse, paella, meaty, fleshy, flesh, marmite",2456,1,肉
三,sān,det.: three,16916,1,三
山,shān,"Shan, jebel, pike, mountain, whitethorn, hump, anything resembling a mountain, gable, kop, chimney, hill, Surname, mount",2213,1,山
商场,shāngchǎng,"department store, bazar, line of business, field of operation, grocery store, emporium, bazaar, grocery, mall, commercial circle, field, market",444,1,商場
商店,shāngdiàn,"concern, hospital, business, store, shoppe, shop",1224,1,商店
上,shàng,"on, above",114371,1,上
上班,shàngbān,"start work, go to work, be on duty",2221,1,上班
上边,shàng bian,"the top, above, overhead, upwards, the top margin, above-mentioned, those higher up",110,1,上邊
上车,shàng chē,"to get on or into (a bus, train, car etc)",557,1,上車
上次,shàng cì,last time,1672,1,上次
上课,shàngkè,"attend class, go to class;give lesson/lecture",815,1,上課
上网,shàng wǎng,"to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net",324,1,上網
上午,shàng wǔ,"morning, CL:個|个[ge4]",595,1,上午
上学,shàngxué,"attend school, be at school",1241,1,上學
少,shǎo,"lack, be deficient, lose, be missing",5325,1,少
谁,shéi,"who, someone, anyone",52782,1,誰
身上,shēn shang,"on the body, at hand, among",7228,1,身上
身体,shēntǐ,"soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage",4764,1,身體
什么,shéme,"anything, what",236517,1,什麼
生病,shēngbìng,"come down, ail, fall ill, traik, sick, sicken",928,1,生病
生气,shēngqì,"get angry, be angry",3828,1,生氣
生日,shēngrì,birthday,3800,1,生日
十,shí,det.: ten,3610,1,十
时候,shíhòu,"day, moment, (a point in) time, (duration of) time, time",52176,1,時候
时间,shíjiān,"moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy",30703,1,時間
事,shì,"responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter",97715,1,事
试,shì,"offer, attempt, essay, flesh, try, seek, assay, test",7231,1,試
是,shì,"is, are, am, yes, to be, variant of 是[shi4], (used in given names)",947807,1,昰
是不是,shì bù shì,"is or isn't, yes or no, whether or not",438,1,是不是
手,shǒu,hand,15010,1,手
手机,shoǔ jī,"cell phone, mobile phone, CL:部[bu4],支[zhi1]",3634,1,手機
书,shū,"volume, document, style of calligraphy, book, script, letter",7152,1,書
书包,shūbāo,"bag, book bag, satchel, schoolbag",93,1,書包
书店,shūdiàn,bookstore,258,1,書店
树,shù,"wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito",2150,1,樹
水,shuǐ,"water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua",7581,1,水
水果,shuǐguǒ,fruit,591,1,水果
睡,shuì,sleep,8031,1,睡
睡觉,shuìjiào,"turn_in, log Z's, doss, slumber, catch some Z's, go to bed, sleep, doss down, crash, go_to_sleep, hit_the_sack, kip",3999,1,睡覺
说,shuō,"speak, talk, explain, scold",226955,1,說
说话,shuōhuà,"philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say",8985,1,說話
四,sì,det.: four,6979,1,四
送,sòng,"accompaniment, escort, see sb. off, see sb. off/out, to dispatch, see ... off, accompany, to deliver, send, direct, serve, guide, give as a present, deliver, see sb. out, see, lead, see ... out, conduct, give, to send, carry, delivery, carriage, take, hospitalize",13212,1,送
岁,suì,"year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops",11556,1,歲
他,tā,"he, she, it, they (referring to inanimate things in object position)",397653,1,他
他们,tāmen,they,140460,1,他們
她,tā,"she, her, she (neologism for {1ta1}[2]), )",221420,1,她
她们,tāmen,they (female),8912,1,她們
太,tài,"excessively, too, extremely, very",65151,1,太
天,tiān,m.[standard],50660,1,天
天气,tiānqì,"sky, elements, weather condition, atmospheric condition, weather",1260,1,天氣
听,tīng,"hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark",54888,1,聽
听到,tīngdào,hear,6695,1,聽到
听见,tīngjiàn,hear,2592,1,聽見
听写,tīng xiě,"dictate, dictation, CL:次[ci4]",7,1,聽寫
同学,tóngxué,"class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student",1018,1,同學
图书馆,túshūguǎn,library,768,1,圖書館
